,Y,X
1528,33364.05359508564,20868.343901354994
1529,34831.89616278827,23266.923542518845
1530,19766.335483370964,12486.488321885807
1531,39255.66847193025,25321.9817739724
1532,30869.896776801514,19144.069624455093
1533,23705.595959719925,15813.172050518087
1534,36076.42364242537,22892.673877298643
1535,34286.29527160635,22109.569271724326
1536,29122.294190430464,17313.24786618843
1537,39233.319894875385,26506.97901368496
1538,40012.668051325534,25061.068551856253
1539,9954.966269199082,6879.634899253932
1540,18274.784309790375,12389.699289494301
1541,10036.266894691113,6744.341401755759
1542,39249.32928531381,23904.47006511232
1543,17995.218909337415,12820.98541743672
1544,41365.99485827516,25802.820791731574
1545,25300.725137586425,16584.233985553867
1546,9097.324876522875,5156.178043690167
1547,34814.42124915469,23012.518802015933
1548,34134.648885152616,21929.380092253647
1549,24544.828229453415,14328.638525502683
1550,33460.267106227504,20732.796174772822
1551,8202.508072234827,5271.974654726284
1552,23883.774922032786,16313.855699143734
1553,14209.999892394197,9718.21877686864
1554,19718.160125783907,13480.3792187436
1555,31751.910952642203,19455.413800706472
1556,24711.592787689984,15356.204783037474
1557,11240.325788970998,7146.635863861623
1558,12615.632471177654,6862.72705106862
1559,26041.630780045914,16946.446971803438
1560,14469.374159079354,8543.748908177131
1561,30016.53572343703,18290.763297242163
1562,21773.439479582958,13321.95096015233
1563,2425.3760216310607,1696.3784918036235
1564,6706.0641929396,4613.644679825155
1565,18864.910323562683,12492.421274864168
1566,39884.52038509777,26006.162275843057
1567,41139.72004647353,27058.28136867395
1568,11106.500412273728,5576.2837381958825
1569,23619.804583276822,15785.65372835342
1570,31228.964700191773,20059.6182600262
1571,29853.803002561523,18736.844650260922
1572,39888.45443900629,26274.74284387786
1573,8036.305646081102,5533.462554422074
1574,20843.31574674721,14409.254510526094
1575,36959.58690591467,22459.643636208428
1576,26263.284825799703,17192.625084797
1577,36341.10823466892,23728.232356080276
1578,31024.940295914497,19284.47536174623
1579,24743.744287330235,14808.957425489443
1580,15657.741339193248,9779.392915546472
1581,20984.26338076749,15086.353414683324
1582,12497.234633787271,8373.999897270774
1583,24866.782622635947,14584.571098681916
1584,26938.338959628993,16701.83825517889
1585,31414.996786247342,21670.531673867266
1586,10615.838087999047,7339.615660027924
1587,25032.8903542779,15653.729612599656
1588,31263.061752763697,20113.666053383353
1589,31459.811394424647,19670.116265312965
1590,2689.9231274072017,1583.69555455571
1591,8159.0424318248215,5310.681890589546
1592,25925.210630454338,14974.274716294738
1593,33546.58795070259,20805.74684196336
1594,10583.540443897182,7214.365651535371
1595,34373.61890515839,22413.765175095752
1596,32429.81715702332,19463.18372999686
1597,28226.907827172683,16739.943510397763
1598,9980.627448843008,4833.239483288934
1599,21581.824435748644,14881.75853619683
1600,20196.622645478004,9634.807273865275
1601,10701.040310536913,6942.119156663241
1602,17768.721788460804,11644.501808400833
1603,6272.079791058556,4218.972233372146
1604,34777.13505934218,21573.37153403578
1605,1024.8572895998009,817.5931480066754
1606,28510.810157201893,17664.854517160857
1607,29978.65272490454,20699.34025820802
1608,14913.092045487236,10355.167770984779
1609,34402.42503404652,22273.416570543635
1610,26016.653338917782,16124.924984653639
1611,18852.352521836194,13806.208876878842
1612,31223.18020454166,19349.67299316698
1613,29433.051833722606,19299.08285311922
1614,24269.050752546726,14406.436172712869
1615,34380.07645699164,23725.656099998698
1616,35159.424613441784,21781.25040934737
1617,5101.722831315364,2502.9506425782934
1618,13593.350889587979,7479.92878534858
1619,5183.023456807393,2151.9981310645658
1620,34396.08584743007,20746.235164989037
1621,13141.975471453698,8381.296444074698
1622,36512.75142039144,22440.567525245544
1623,20447.481699702694,15240.964891388205
1624,8566.368953015148,6489.250863796906
1625,29961.177811270965,20402.34910430766
1626,29281.405447268862,18928.027651072727
1627,19691.584791569698,9473.027865804554
1628,28607.02366834379,17215.63425373293
1629,3349.264634351105,1594.5563732367616
1630,19030.53148414907,12343.18343174363
1631,9356.756454510469,5309.762582564344
1632,14864.916687900171,10502.26518724555
1633,26898.667514758505,15749.457352840845
1634,19858.349349806267,10899.329184772332
1635,6387.082351087277,3347.057488149256
1636,7762.389033293932,4473.020116903328
1637,21188.387342162197,13397.376237540426
1638,9616.130721195646,5342.070987017467
1639,25163.292285553307,15298.316144068283
1640,17092.006059380557,8383.060646606802
1641,7986.76628634942,4018.634338805064
1642,1364.4858988184474,735.0372569439925
1643,14011.666885678964,7271.954324615982
1644,35031.27694721404,22908.10176977678
1645,36286.4766085898,24043.05827473632
1646,6253.256974390007,3666.98029201597
1647,18766.56114539309,12948.194099516402
1648,26375.721262308038,17185.78766008974
1649,25000.55956467779,14838.403822742659
1650,35035.21100112258,22641.275252722848
1651,499.2950719078436,187.1802060588164
1652,15990.072308863479,11035.080564179187
1653,136.29062961890543,71.40670293952938
1654,11278.383569232796,7065.15988951955
1655,3300.6249157436996,2563.5928687659743
1656,5367.620098716491,3655.916974897815
1657,10621.893834089482,7976.797865407586
1658,16052.3754295973,12809.694202056431
1659,16504.467581084307,10115.85995277415
1660,16986.083688714785,14089.639451179186
1661,9817.437577509409,7946.925758189891
1662,9254.52478314287,6474.548885228232
1663,5922.356807156029,4566.499621392239
1664,18586.05526538039,15126.020955563175
1665,11368.738216799758,7820.600408570756
1666,5087.888759638883,3441.52409752905
1667,3318.203167592703,2812.57886696925
1668,40022.58724238527,23359.155699780164
1669,42171.18308966468,26566.382955975467
1670,8791.744975241802,7491.71771320627
1671,4843.959607799866,3418.75767406829
1672,18790.162927163572,15261.521972958975
1673,3972.0812322124602,2602.536999219363
1674,4219.322917234691,3289.7259665839233
1675,6605.556028198317,5757.800812454229
1676,26449.100872491934,18201.279912552913
1677,9536.772715069494,7658.956671325433
1678,17689.33250738754,13745.186847850273
1679,27957.776192892026,15523.579440382582
1680,14121.779586250172,10840.562120007458
1681,35216.182651922376,19951.39484105443
1682,2679.165592640859,1803.9736288699223
1683,36816.76684920198,23275.597267139667
1684,7849.478667417569,5202.5880977066945
1685,7415.683042219559,5387.091219486
1686,24045.543223380744,13849.248954848488
1687,4300.893412141295,2606.680538644446
