distrito,entidad,ganador_2018,pan_2018_%,pri_2018_%,morena_2018_%,pan_2015_%,pri_2015_%,morena_2015_%,candidato_pan,candidato_pri,candidato_morena,pobreza_2015_%,pobreza_extrema_2015_%,diff_pan,diff_pri,diff_morena
10,11,PAN,0.317755841,0.156394387,0.192425508,0.288483872,0.256047153,0.030738396,LILIA VILLAFUERTE ZAVALA,RAFAEL GARCIA DEL HORNO,JOSE ANTONIO FRANCO GONZALEZ,0.587841,0.062020167,0.029271969,-0.099652766,0.161687112
11,11,PAN,0.489980356,0.115035118,0.164504459,0.488320724,0.2077485,0.029706931,JORGE ARTURO ESPADAS GALVÁN,JUAN PABLO LOPEZ MARUN,RICARDO GOMEZ ESCALANTE,0.315067,0.022113,0.001659632,-0.092713382,0.134797528
12,11,PAN,0.324691016,0.104444536,0.242018283,0.374206448,0.180140679,0.064512443,SARAI NUÑEZ CERON,RODOLFO SEGURA MONTES,MARIA DEL PILAR CONTRERAS SOTO,0.325195,0.02488,-0.049515432,-0.075696143,0.17750584
13,11,PAN,0.286924784,0.18395295,0.212479137,0.355586865,0.227784188,0.032500526,EMMANUEL REYES CARMONA,EMMANUEL PADILLA DELGADO,ISRAEL MOSQUEDA GASCA,0.561143286,0.057302143,-0.068662081,-0.043831238,0.179978611
14,11,PAN,0.264731172,0.163127451,0.236226371,0.33411796,0.207197551,0.02550738,MA EUGENIA LETICIA ESPINOSA RIVAS,LORENZO LICEA ROJAS,CLAUDIA GABRIELA ESTRADA DE LA CRUZ,0.574122429,0.052304571,-0.069386788,-0.0440701,0.210718991
15,11,PAN,0.336257998,0.171736412,0.262940354,0.379563518,0.352094043,0.039941829,SERGIO FERNANDO ASCENCIO BARBA,ARCELIA MARIA GONZALEZ GONZALEZ,MIGUEL ANGEL CHICO HERRERA,0.372155,0.029354,-0.04330552,-0.180357631,0.222998525
1,12,MORENA,0.017737898,0.229183391,0.344179436,0.012129152,0.364885315,0.03686178,AZUCENA SALAZAR PINEDA,SORAYA ERIZA PINEDA,VICTOR ADOLFO MOJICA WENCES,0.747691188,0.280559125,0.005608746,-0.135701924,0.307317656
2,12,MORENA,0.116456433,0.178212489,0.354744541,0.122544996,0.328354929,0.041671244,YESENIA GALARZA CASTRO,KARIME IYARI SEVILLA ALVAREZ,ARACELI OCAMPO MANZANARES,0.668558,0.210635667,-0.006088563,-0.15014244,0.313073297
3,12,MORENA,0.017926832,0.178145379,0.430505829,0.017618811,0.349428488,0.044548652,MERCED BALDOVINO DIEGO,MA DE LOS ANGELES SALOMON GALEANA,MA DEL CARMEN CABRERA LAGUNAS,0.592160875,0.154130375,0.000308021,-0.171283109,0.385957177
4,12,MORENA,0.041984059,0.131582434,0.537347376,0.083138108,0.287606088,0.050073648,RICARDO MEJIA BERDEJA,MA DEL PILAR VADILLO RUIZ,ABELINA LOPEZ RODRIGUEZ,0.566394,0.121217,-0.041154049,-0.156023654,0.487273728
5,12,MORENA,0.018892312,0.176889092,0.363043272,0.058449277,0.30230312,0.034317169,NINEL SALAZAR BAZAN,EUSEBIO GONZALEZ RODRIGUEZ,JAVIER MANZANO SALAZAR,0.861271111,0.480482444,-0.039556965,-0.125414028,0.328726103
6,12,PRD,0.061836852,0.184413121,0.238038515,0.071279628,0.308572303,0.027528552,RAYMUNDO GARCIA GUTIERREZ,FLAVIA GARCIA GARCIA,JORGE LUIS RENDON CASTRO,0.876230692,0.453428923,-0.009442776,-0.124159182,0.210509963
7,12,MORENA,0.026767077,0.219147406,0.447567985,0.040179297,0.408350171,0.045923621,IRMA LILIA GARZON BERNAL,BEATRIZ ALARCON ADAME,CARLOS SANCHEZ BARRIOS,0.7603135,0.287713,-0.01341222,-0.189202765,0.401644364
